order_id,customer_id,order_date,gross_revenue,channel,product_category
O501392,C100861,2025-10-22 02:21:00,77.44,email,vitamins
O500065,C100039,2025-05-28 08:43:00,55.16,marketplace,supplements
O500349,C100213,2025-10-27 08:00:00,93.11,email,protein
O502374,C101492,2025-12-20 08:32:00,26.74,instagram,protein
O501465,C100910,2025-12-02T08:39:00+05:30,48.28,paid_search,protein
O500524,C100331,2025-06-20 21:24:00,134.88,referral,fitness_gear
O503663,C102413,2026-04-22 16:11:00,92.02,instagram,vitamins
O501076,C100665,2025-08-18 13:42:00,119.32,paid_search,supplements
O503436,C102214,2026-03-26 11:53:00,103.82,email,vitamins
O503216,C102049,2026-02-14T08:18:00+05:30,52.62,paid_search,wellness
O502778,C101750,2026-03-15 05:54:00,111.51,email,vitamins
O502474,C101552,2026-01-01 11:54:00,80.25,organic_search,fitness_gear
O502051,C101273,2025-11-24 10:13:00,120.93,referral,vitamins
O503551,C102309,2026-04-23 09:26:00,71.38,email,vitamins
O502233,C101396,2025-12-11 15:45:00,43.8,organic_search,fitness_gear
O502062,C101280,2025-12-18 12:30:00,71.21,organic_search,protein
O502838,C101789,2026-01-18T11:13:00+05:30,92.02,referral,supplements
O500373,C100231,2025-06-08 14:44:00,65.33,email,protein
O500892,C100560,2025-08-16 13:59:00,68.41,organic_search,wellness
O502306,C101446,2025-12-19T04:37:00+05:30,104.29,email,protein
O501056,C100653,2025-08-26 22:46:00,70.34,paid_search,fitness_gear
O502105,C101309,2025-12-28 10:06:00,107.51,email,supplements
O503588,C102345,2026-04-25 15:06:00,48.25,organic_search,supplements
O500072,C100044,2025-05-17 20:11:00,59.81,organic_search,supplements
O502565,C101606,2026-03-10 21:37:00,85.7,referral,vitamins
O501772,C101087,2025-11-05T14:12:00+05:30,95.19,organic_search,wellness
O502843,C101793,2026-01-17 08:16:00,61.27,marketplace,healthy_snacks
O501995,C101237,2025-11-26T15:58:00+05:30,63.86,paid_search,vitamins
O502869,C101812,2026-01-17 18:39:00,59.54,instagram,protein
O500964,C100599,2025-09-24 12:19:00,75.96,organic_search,healthy_snacks
O502644,C101664,2026-01-14 11:54:00,41.85,instagram,wellness
O503311,C102120,2026-03-28 20:01:00,64.11,paid_search,protein
O501702,C101047,2025-10-07T16:15:00+05:30,46.77,organic_search,protein
O502732,C101722,2026-01-07 18:31:00,35.27,marketplace,protein
O501494,C100928,2025-10-17 09:36:00,40.77,organic_search,protein
O502114,C101312,2026-01-27 00:48:00,79.58,organic_search,wellness
O501939,C101205,2025-12-25T09:34:00+05:30,54.77,organic_search,supplements
O500826,C100513,2025-07-17T16:26:00+05:30,13.78,instagram,vitamins
O500742,C100466,2025-07-19T20:37:00+05:30,64.36,organic_search,wellness
O500540,C100341,2025-07-21T04:35:00+05:30,64.27,organic_search,healthy_snacks
O502348,C101474,2025-12-26 11:04:00,16.96,NULL,supplements
O500616,C100393,2025-10-02 16:57:00,74.26,email,vitamins
O501833,C101133,2025-12-27 06:19:00,65.13,email,vitamins
O500585,C100379,2025-06-22 13:34:00,78.57,email,supplements
O501928,C101197,2025-11-27 09:13:00,40.12,marketplace,fitness_gear
O501706,C101048,2025-12-29 22:03:00,65.02,paid_search,protein
O501521,C100946,2025-10-09 21:41:00,31.36,marketplace,protein
O502034,C101263,2025-11-17T11:01:00+05:30,68.11,instagram,protein
O503226,C102058,2026-02-17 13:43:00,49.16,instagram,supplements
O503085,C101959,2026-03-24T21:56:00+05:30,31.78,marketplace,vitamins
O500398,C100246,2025-06-16 15:28:00,93.23,paid_search,fitness_gear
O502416,C101515,2025-12-27 10:38:00,62.03,paid_search,fitness_gear
O501159,C100715,2025-09-21 22:18:00,100.0,paid_search,protein
O500078,C100048,2025-06-07 11:03:00,12.96,paid_search,vitamins
O503238,C102065,2026-02-20T13:05:00+05:30,63.33,instagram,wellness
O503379,C102171,2026-03-14 08:02:00,91.76,instagram,wellness
O501674,C101028,2025-10-26 11:37:00,105.96,email,supplements
O503134,C101988,2026-02-07 11:43:00,93.38,paid_search,fitness_gear
O501581,C100976,2025-11-10T05:05:00+05:30,26.48,instagram,protein
O502896,C101828,2026-02-20 17:17:00,62.62,instagram,vitamins
O501138,C100703,2025-09-10T17:43:00+05:30,99.4,organic_search,protein
O501100,C100678,2025-08-23 09:22:00,59.22,email,wellness
O503260,C102081,2026-03-15 18:40:00,79.72,email,vitamins
O501773,C101088,2025-11-26 16:15:00,29.72,paid_search,protein
O500687,C100433,2025-07-07 14:26:00,72.79,instagram,vitamins
O503513,C102276,2026-03-19T08:54:00+05:30,57.78,paid_search,protein
O501382,C100854,2025-09-26 09:23:00,-68.71,organic_search,vitamins
O501407,C100869,2025-12-06 23:11:00,23.76,marketplace,protein
O500779,C100485,2025-07-20T08:50:00+05:30,77.45,organic_search,protein
O502849,C101796,2026-01-01T09:24:00+05:30,61.56,paid_search,wellness
O501802,C101111,2025-11-26 21:55:00,29.04,referral,wellness
O503303,C102114,2026-03-20 10:53:00,71.69,email,protein
O500495,C100310,2025-06-25T14:02:00+05:30,110.67,referral,fitness_gear
O502089,C101298,2026-01-13 00:06:00,91.51,email,vitamins
O502226,C101391,2025-12-07 12:28:00,43.08,instagram,protein
O502989,C101891,2026-03-08T04:25:00+05:30,62.81,instagram,supplements
O502024,C101257,2025-11-25 10:36:00,117.03,referral,protein
O502227,C101391,2026-01-02 03:35:00,66.56,instagram,protein
O500228,C100150,2025-05-14 20:37:00,61.95,organic_search,wellness
O503556,C102313,2026-04-24 22:15:00,50.66,marketplace,vitamins
O503284,C102099,2026-03-03 22:40:00,34.74,organic_search,vitamins
O502753,C101735,2026-01-26 10:35:00,72.99,email,fitness_gear
O502490,C101560,2026-01-03 22:05:00,78.67,instagram,fitness_gear
O503402,C102189,2026-03-11T19:59:00+05:30,37.47,paid_search,wellness
O501456,C100905,2025-10-06 13:20:00,34.36,instagram,wellness
O500810,C100501,2025-07-18 21:47:00,33.52,paid_search,wellness
O503179,C102020,2026-03-07 05:44:00,72.92,instagram,supplements
O501830,C101132,2025-11-25 10:12:00,51.98,paid_search,vitamins
O500139,C100089,2025-05-20 23:29:00,101.56,email,supplements
O503013,C101910,2026-02-11 21:21:00,118.04,referral,protein
O502864,C101808,2026-01-22 08:17:00,72.73,organic_search,vitamins
O501927,C101197,2025-11-14 19:31:00,43.75,marketplace,healthy_snacks
O502126,C101321,2025-12-12 18:43:00,122.08,referral,vitamins
O501900,C101179,2025-11-19 16:50:00,66.28,instagram,healthy_snacks
O500333,C100205,2025-07-16 22:49:00,87.89,email,protein
O500485,C100304,2025-06-10 21:37:00,77.81,organic_search,vitamins
O502842,C101792,2026-01-01 14:37:00,91.29,paid_search,healthy_snacks
O501447,C100898,2025-10-14 15:14:00,61.0,organic_search,protein
O503369,C102162,2026-03-10 17:10:00,92.98,referral,wellness
O501810,C101117,2025-11-24 14:50:00,46.9,marketplace,wellness
O503080,C101955,2026-02-27 11:45:00,73.11,organic_search,vitamins
O503496,C102260,2026-03-14 18:58:00,57.59,email,healthy_snacks
O503245,C102071,2026-03-03 14:56:00,59.49,paid_search,fitness_gear
O502915,C101841,2026-02-24 21:24:00,106.68,email,fitness_gear
O500747,C100468,2025-07-11 21:40:00,53.11,marketplace,protein
O503689,C102437,2026-04-23 04:15:00,62.52,paid_search,healthy_snacks
O500502,C100315,2025-06-28 15:06:00,105.94,email,healthy_snacks
O503070,C101951,2026-02-04 14:03:00,80.85,paid_search,supplements
O503696,C102444,2026-04-25 18:26:00,46.72,instagram,fitness_gear
O500840,C100523,2025-07-08 14:05:00,86.57,paid_search,protein
O503711,C102458,2026-04-14 20:20:00,105.91,paid_search,vitamins
O503171,C102013,2026-02-19 13:02:00,46.43,marketplace,wellness
O500934,C100581,2025-10-24 05:46:00,53.38,organic_search,supplements
O501735,C101063,2025-11-06 20:43:00,90.86,email,vitamins
O500043,C100025,2025-07-07T18:31:00+05:30,129.76,referral,supplements
O500399,C100247,2025-06-02 12:55:00,104.19,organic_search,protein
O503444,C102221,2026-03-10T20:54:00+05:30,40.53,organic_search,supplements
O501147,C100710,2025-09-24 17:00:00,58.54,organic_search,supplements
O501492,C100927,2025-10-24 20:49:00,50.24,organic_search,healthy_snacks
O500722,C100454,2025-09-24 15:41:00,147.51,marketplace,supplements
O502929,C101850,2026-02-27 12:29:00,59.76,organic_search,vitamins
O502992,C101893,2026-02-03T15:46:00+05:30,58.13,paid_search,wellness
O500099,C100064,2025-05-21 09:33:00,84.08,email,vitamins
O500782,C100486,2025-07-11 09:21:00,72.43,paid_search,vitamins
O502122,C101318,2026-03-15 15:43:00,89.92,organic_search,protein
O500338,C100208,2025-06-19 19:53:00,125.64,referral,protein
O500324,C100201,2025-06-05 11:08:00,47.89,email,protein
O502946,C101860,2026-02-23 19:07:00,62.79,instagram,healthy_snacks
O502810,C101771,2026-02-22 10:04:00,54.59,referral,vitamins
O501209,C100742,2025-09-18 14:33:00,98.45,referral,vitamins
O501842,C101140,2025-12-12 20:03:00,64.08,organic_search,healthy_snacks
O501756,C101076,2025-11-07 22:41:00,17.32,marketplace,protein
O502512,C101575,2026-01-25 06:33:00,51.33,organic_search,healthy_snacks
O500330,C100203,2025-06-09 20:23:00,69.4,organic_search,protein
O502980,C101883,2026-02-22 19:44:00,56.25,organic_search,supplements
O501173,C100721,2025-10-19 10:59:00,68.7,instagram,supplements
O502212,C101382,2025-12-17T20:50:00+05:30,49.23,organic_search,wellness
O502169,C101347,2026-02-07 09:22:00,53.05,marketplace,protein
O503590,C102347,2026-04-05 08:06:00,54.99,paid_search,vitamins
O501947,C101211,2025-11-17 23:28:00,91.45,marketplace,fitness_gear
O500262,C100170,2025-05-18T15:57:00+05:30,30.16,organic_search,protein
O503417,C102201,2026-03-17 21:07:00,16.04,organic_search,wellness
O503585,C102342,2026-04-26 20:41:00,63.88,organic_search,supplements
O500321,C100199,2025-06-21 08:48:00,79.03,email,vitamins
O501331,C100819,2025-10-11 07:43:00,75.09,organic_search,vitamins
O502616,C101643,2026-01-15 21:34:00,57.83,instagram,protein
O503160,C102005,2026-02-05 09:08:00,38.17,marketplace,protein
O501110,C100685,2025-08-11 19:30:00,96.93,email,fitness_gear
O502154,C101339,2026-01-08 08:48:00,75.93,paid_search,protein
O502743,C101730,2026-01-07 16:42:00,53.52,organic_search,fitness_gear
O500678,C100428,2025-07-09 08:11:00,29.17,instagram,protein
O501700,C101045,2025-10-11 08:48:00,52.47,instagram,fitness_gear
O503161,C102006,2026-02-14 21:29:00,63.67,paid_search,healthy_snacks
O501153,C100713,2025-09-22T16:59:00+05:30,131.35,referral,supplements
O500942,C100586,2025-08-28 13:42:00,76.75,paid_search,supplements
O502659,C101671,2026-02-09 17:58:00,119.83,referral,protein
O500562,C100361,2025-06-13T21:51:00+05:30,28.92,paid_search,protein
O502445,C101535,2026-01-22 13:34:00,23.87,organic_search,vitamins
O500209,C100135,2025-05-09 08:06:00,68.77,marketplace,vitamins
O503104,C101972,2026-04-12 20:31:00,54.01,organic_search,supplements
O502626,C101651,2026-01-23 05:39:00,110.73,organic_search,protein
O500686,C100432,2025-07-21 08:05:00,67.23,email,vitamins
O500390,C100241,2025-06-12 10:19:00,87.11,organic_search,protein
O501326,C100817,2025-09-23T10:05:00+05:30,18.86,paid_search,fitness_gear
O500702,C100442,2025-07-22 12:02:00,66.57,organic_search,fitness_gear
O500343,C100211,2025-08-17 02:38:00,36.48,referral,supplements
O500895,C100562,2025-08-03T14:38:00+05:30,28.08,instagram,wellness
O500054,C100032,2025-05-24 17:27:00,94.35,paid_search,fitness_gear
O503456,C102228,2026-03-12 10:13:00,83.0,organic_search,healthy_snacks
O501866,C101157,2025-11-06 13:56:00,39.81,paid_search,supplements
O503522,C102285,2026-03-26 12:17:00,81.42,instagram,healthy_snacks
O502938,C101856,2026-02-11 15:01:00,,organic_search,protein
O503025,C101917,2026-03-10 04:20:00,78.87,organic_search,supplements
O500533,C100337,2025-06-19 12:40:00,70.28,marketplace,protein
O501854,C101147,2025-12-07 15:01:00,74.68,paid_search,vitamins
O502590,C101624,2026-01-26 22:21:00,81.46,referral,protein
O501575,C100974,2025-12-31 16:44:00,73.42,email,supplements
O503463,C102233,2026-03-05 15:59:00,85.58,organic_search,wellness
O501451,C100901,2025-10-07 15:37:00,41.52,instagram,wellness
O503577,C102334,2026-04-15 16:42:00,33.56,email,vitamins
O502903,C101832,2026-02-20 15:45:00,90.38,paid_search,wellness
O501264,C100779,2025-09-25T15:58:00+05:30,32.06,instagram,healthy_snacks
O501607,C100993,2025-10-07 19:25:00,99.89,paid_search,healthy_snacks
O503364,C102159,2026-04-05 04:59:00,83.2,paid_search,vitamins
O501172,C100721,2025-09-28 20:05:00,57.42,instagram,wellness
O503686,C102435,2026-04-26T08:44:00+05:30,58.51,instagram,protein
O501879,C101166,2025-12-02 16:51:00,43.68,marketplace,supplements
O501787,C101099,2025-11-02 20:14:00,41.25,marketplace,protein
O501328,C100818,2025-09-14 18:50:00,62.25,organic_search,vitamins
O501805,C101113,2025-11-05T20:07:00+05:30,69.28,instagram,healthy_snacks
O500798,C100496,2025-07-21T18:27:00+05:30,112.46,paid_search,supplements
O500232,C100152,2025-06-27T15:09:00+05:30,58.98,organic_search,supplements
O503157,C102003,2026-02-16 15:41:00,55.11,email,protein
O500696,C100438,2025-07-22 14:31:00,93.64,organic_search,supplements
O501262,C100777,2025-09-10 22:00:00,55.48,marketplace,vitamins
O501560,C100968,2025-10-09 09:41:00,19.89,marketplace,wellness
O502701,C101701,2026-01-23 15:35:00,102.95,email,protein
O502482,C101557,2026-01-06 09:17:00,97.81,email,healthy_snacks
O503349,C102149,2026-03-19 17:20:00,72.65,instagram,fitness_gear
O503501,C102264,2026-03-02T21:52:00+05:30,79.26,paid_search,vitamins
O502709,C101706,2026-01-05 15:18:00,70.15,email,protein
O502055,C101275,2025-11-23 18:50:00,57.14,email,protein
O501372,C100846,2026-02-16 06:48:00,61.92,email,vitamins
O501797,C101108,2025-11-08 08:33:00,111.12,referral,vitamins
O503493,C102257,2026-03-07 12:30:00,88.76,email,vitamins
O502209,C101379,2026-01-09 01:44:00,62.73,email,vitamins
O500851,C100531,2025-07-14T09:49:00+05:30,70.11,paid_search,protein
O502987,C101890,2026-02-11 16:26:00,74.65,instagram,supplements
O502291,C101437,2025-12-13 20:51:00,116.44,email,supplements
O502996,C101896,2026-02-20 13:59:00,82.35,paid_search,protein
O501500,C100931,2025-10-24 15:34:00,22.33,email,vitamins
O503478,C102243,2026-03-20 08:58:00,97.24,paid_search,wellness
O501497,C100929,2025-11-27 23:59:00,100.69,email,wellness
O500564,C100363,2025-06-18 09:29:00,99.38,email,healthy_snacks
O501514,C100941,2025-10-25 10:18:00,69.6,email,protein
O500820,C100509,2025-09-07 08:25:00,79.31,organic_search,fitness_gear
O503126,C101984,2026-02-07 21:08:00,96.97,email,vitamins
O502711,C101708,2026-01-21T16:24:00+05:30,64.2,email,vitamins
O502258,C101415,2025-12-15 15:02:00,42.48,instagram,wellness
O500806,C100499,2025-09-24 06:06:00,89.94,organic_search,supplements
O500813,C100504,2025-07-06 10:53:00,101.62,organic_search,supplements
O500676,C100426,2025-08-20 01:20:00,55.13,organic_search,protein
O500704,C100444,2025-07-07 20:08:00,101.35,referral,wellness
O502558,C101603,2026-04-01 08:29:00,47.64,organic_search,fitness_gear
O502678,C101685,2026-01-09T15:40:00+05:30,74.04,paid_search,protein
O501094,C100673,2025-11-05 15:30:00,58.41,organic_search,protein
O502832,C101786,2026-02-23 15:40:00,87.77,email,vitamins
O500574,C100371,2025-06-16T09:06:00+05:30,33.41,organic_search,wellness
O502343,C101470,2025-12-18 22:34:00,17.33,paid_search,vitamins
O503029,C101919,2026-04-12 09:49:00,52.52,instagram,vitamins
O500420,C100259,2025-06-03 10:00:00,83.16,referral,healthy_snacks
O503373,C102166,2026-03-07 17:30:00,48.17,instagram,vitamins
O501055,C100652,2025-08-22 09:26:00,62.83,organic_search,vitamins
O502683,C101689,2026-01-19 09:25:00,29.94,instagram,protein
O501489,C100925,2025-10-10 08:17:00,58.51,instagram,vitamins
O503700,C102448,2026-04-27 09:52:00,78.91,organic_search,wellness
O500450,C100279,2025-06-27T15:05:00+05:30,52.47,organic_search,supplements
O500926,C100578,2025-08-21 12:15:00,69.21,organic_search,protein
O503433,C102213,2026-04-03 09:12:00,99.9,paid_search,protein
O502160,C101341,2026-01-20 18:58:00,74.39,paid_search,vitamins
O502014,C101251,2025-11-28T10:08:00+05:30,73.89,email,supplements
O501192,C100734,2025-09-02 22:57:00,114.55,email,wellness
O503298,C102110,2026-03-21 08:30:00,113.89,email,supplements
O500273,C100174,2025-05-21T22:07:00+05:30,109.27,paid_search,protein
O502562,C101606,2026-01-14 21:24:00,125.27,referral,healthy_snacks
O503562,C102319,2026-04-07 22:32:00,67.89,email,protein
O502833,C101787,2026-01-23 20:07:00,126.68,email,protein
O500570,C100367,2025-07-27 03:23:00,61.73,paid_search,vitamins
O500575,C100372,2025-06-18 10:24:00,111.45,referral,vitamins
O502487,C101558,2026-03-09 01:05:00,48.88,instagram,vitamins
O501167,C100718,2025-10-16T03:51:00+05:30,100.83,organic_search,healthy_snacks
O500498,C100311,2025-09-02 02:32:00,88.32,paid_search,supplements
O502173,C101351,2025-12-15 15:42:00,69.21,instagram,vitamins
O501899,C101178,2025-11-28 08:50:00,51.68,organic_search,supplements
O500482,C100301,2025-06-03 12:49:00,73.54,email,supplements
O502414,C101514,2025-12-28 22:32:00,82.46,referral,fitness_gear
O501709,C101049,2025-10-15 14:16:00,67.13,organic_search,protein
O501084,C100669,2025-08-26 19:16:00,45.87,paid_search,fitness_gear
O501442,C100894,2025-10-26 19:07:00,102.8,organic_search,supplements
O502596,C101627,2026-02-19 09:39:00,29.98,organic_search,vitamins
O502641,C101661,2026-01-17 20:51:00,82.34,paid_search,supplements
O500569,C100367,2025-06-18 13:58:00,29.96,paid_search,vitamins
O500944,C100588,2025-08-10 21:10:00,110.45,organic_search,vitamins
O500471,C100294,2025-06-14T09:14:00+05:30,68.22,email,wellness
O500649,C100412,2025-09-27T20:09:00+05:30,65.64,organic_search,vitamins
O503560,C102317,2026-04-07 12:10:00,124.6,referral,protein
O500001,C100002,2025-05-05 19:06:00,92.13,referral,healthy_snacks
O502740,C101728,2026-01-03T11:33:00+05:30,91.73,instagram,vitamins
O502774,C101749,2026-02-19 08:15:00,39.34,paid_search,protein
O503725,C102471,2026-04-15 21:43:00,37.25,instagram,protein
O503093,C101964,2026-04-08 13:20:00,56.86,paid_search,protein
O501814,C101121,2025-11-27 10:24:00,65.29,paid_search,protein
O500264,C100170,2025-07-15 19:35:00,86.69,organic_search,protein
O501720,C101056,2026-01-27T04:43:00+05:30,46.63,instagram,vitamins
O501887,C101172,2025-11-02 14:05:00,119.13,referral,protein
O501475,C100917,2025-10-19 13:52:00,67.8,paid_search,supplements
O501180,C100724,2025-09-17 11:36:00,56.54,instagram,protein
O502192,C101365,2025-12-21 11:12:00,30.62,marketplace,wellness
O501649,C101016,2025-10-25 15:01:00,120.25,referral,wellness
O501691,C101039,2025-11-05 00:55:00,85.59,paid_search,protein
O501507,C100935,2025-10-27T09:28:00+05:30,35.94,organic_search,wellness
O501010,C100626,2025-08-28 22:10:00,61.5,organic_search,vitamins
O501417,C100877,2025-10-26 13:44:00,,paid_search,supplements
O500990,C100618,2025-08-15 03:16:00,72.64,email,healthy_snacks
O502120,C101317,2025-12-25 19:36:00,31.29,paid_search,healthy_snacks
O502151,C101337,2025-12-27 11:54:00,33.51,instagram,vitamins
O502772,C101748,2026-02-12 14:26:00,54.97,referral,protein
O501832,C101133,2025-12-07 14:31:00,111.03,email,protein
O502543,C101593,2026-01-18 08:32:00,71.49,organic_search,supplements
O502386,C101498,2025-12-16T15:13:00+05:30,61.36,organic_search,fitness_gear
O503064,C101949,2026-02-11 16:28:00,42.0,paid_search,protein
O500992,C100619,2025-10-20T21:35:00+05:30,85.44,organic_search,wellness
O503317,C102123,2026-03-06 19:23:00,71.52,instagram,protein
O503597,C102353,2026-04-10 18:31:00,41.59,organic_search,fitness_gear
O503009,C101907,2026-02-11T20:00:00+05:30,107.23,paid_search,protein
O503218,C102051,2026-02-17 18:02:00,22.03,organic_search,protein
O501053,C100651,2025-08-16 21:01:00,70.26,paid_search,protein
O501216,C100746,2025-09-08 15:22:00,59.28,instagram,fitness_gear
O502113,C101312,2025-12-12 17:01:00,92.62,organic_search,supplements
O501970,C101224,2025-11-21 17:38:00,34.28,organic_search,vitamins
O502090,C101298,2026-02-15 21:06:00,123.15,email,healthy_snacks
O500522,C100330,2025-06-26 10:10:00,53.89,paid_search,vitamins
O501438,C100892,2025-10-16 09:28:00,26.81,organic_search,vitamins
O500254,C100166,2025-07-06 22:12:00,50.98,instagram,protein
O503125,C101983,2026-02-16 18:42:00,82.04,organic_search,wellness
O500376,C100234,2025-06-18 13:22:00,21.27,marketplace,protein
O500136,C100087,2025-06-30 15:20:00,58.03,email,protein
O500652,C100414,2025-08-09 06:05:00,83.48,email,protein
O503426,C102207,2026-04-26 19:44:00,42.11,instagram,healthy_snacks
O502052,C101274,2025-11-19 16:10:00,57.09,instagram,wellness
O502127,C101322,2025-12-05 21:52:00,77.27,paid_search,supplements
O503099,C101969,2026-02-23 20:06:00,66.57,organic_search,supplements
O501585,C100978,2025-10-26 09:06:00,78.34,email,protein
O501155,C100713,2025-12-16 10:11:00,80.28,referral,protein
O501161,C100715,2026-01-09 05:19:00,96.55,paid_search,supplements
O500357,C100217,2025-06-17 18:17:00,110.11,referral,supplements
O500925,C100577,2025-09-21 08:45:00,54.89,email,vitamins
O503292,C102104,2026-03-01T08:21:00+05:30,8,instagram,vitamins
O500677,C100427,2025-07-20 22:42:00,51.84,paid_search,fitness_gear
O502004,C101244,2025-11-28 12:26:00,109.89,referral,supplements
O500315,C100197,2026-01-30 04:11:00,73.92,organic_search,protein
O500317,C100198,2025-06-12T11:41:00+05:30,107.79,email,wellness
O502893,C101826,2026-02-09 10:49:00,41.61,marketplace,vitamins
O500044,C100025,2025-07-20 03:20:00,80.18,referral,vitamins
O502270,C101423,2025-12-03 19:43:00,36.67,instagram,supplements
O500225,C100148,2025-05-20 17:19:00,22.46,marketplace,wellness
O502447,C101537,2026-01-06 13:35:00,78.52,paid_search,healthy_snacks
O501754,C101075,2025-11-27T09:01:00+05:30,46.96,organic_search,supplements
O501558,C100967,2025-10-23 00:05:00,84.51,instagram,vitamins
O503452,C102226,2026-03-06 11:07:00,67.45,instagram,fitness_gear
O502065,C101282,2025-12-10 14:42:00,69.41,paid_search,fitness_gear
O503420,C102202,2026-03-31T05:23:00+05:30,69.92,organic_search,protein
O500848,C100529,2025-08-06 02:19:00,69.4,paid_search,wellness
O501300,C100800,2025-12-24 01:50:00,50.83,email,vitamins
O501246,C100765,2025-09-13T10:48:00+05:30,84.98,email,fitness_gear
O502012,C101250,2025-11-17 12:26:00,55.75,paid_search,vitamins
